Segment,Sentiment Score
"Paragraph 210: As such, one way to view the significance of the ninth FOCAC is not so much what China can do for Africa, certainly not solely through a pledged amount of investment or increase in trade. Rather, it is more useful to treat the summit as an affirmation of commitment to the development philosophy that the essence of governance is the betterment of the livelihood of people. Ideas and projects that can be categorized as South-South Cooperation in the 21st century must be made to be fit for the purpose of development needs in both China, Africa and the rest of the Global South.",1
"Paragraph 211: It is as important to note that, more so than in the past, for South-South Cooperation in the 21st century to retain its relevance and vitality, there can be no one-size-fits-all in philosophizing and/or project design and execution. Instead, devotion to mutual learning and collaborative exploration, including that with skeptics and even critics of China-Africa engagement, is essential. African countries and China continue to go through a learning by doing process in development cooperation. Such is the spirit and value of the ninth FOCAC.",2
Paragraph 212: Ugandan official: Global South improved local people's incomes,0
"Paragraph 213: Economy18:43, 19-Apr-2024",0
"Paragraph 214: The South-South Cooperation has improved agricultural productivity and income of local people in Uganda, said Rose Kabagyeni, Uganda's senior presidential advisor for agricultural matters, during an interview with CGTN's Hu Binyi. She also added that Ugandan farmers gained shared knowledge and skills under the cooperation.",0
"Paragraph 216: World?14:46, 07-Jun-2018",0
"Paragraph 217: UN food agency highlights China's poverty alleviation, South-South cooperation",-1
Paragraph 218: CGTN,0
"Paragraph 219: Sharing experiences through South-South Cooperation was a ""powerful tool"" to forward poverty and hunger eradication, officials at a side-event at the UN Food and Agriculture Organization (FAO) headquarters said on Wednesday.",-1
Paragraph 220: The initiative -- titled "end poverty and hunger and secure the right to food" -- comprised a photo exhibition and an in-depth debate on successful policies for reaching the first two Sustainable Development Goals (SDGs) provided by the Agenda 2030.,0
"Paragraph 221: China, Chad, Kenya, Senegal and Ghana were in the spotlight, each of them giving concrete examples of the strategies they were implementing or planning to reach such goals.",0
"Paragraph 223: In his opening remarks, FAO Deputy Director General for Programmes Daniel Gustafson reminded the audience that, despite the progress made in latest decades, the global challenges remained daunting.",1
"Paragraph 224: ""Some 783 million people continue to live in extreme poverty... and the number of chronically food-insecure people was 815 million in 2016, up from 777 million in 2015,"" Gustafson said.",0
"Paragraph 225: However, FAO virtuous country members could lead the global fight into a new phase.",1
"Paragraph 226: ""China, Chad, Ghana, Kenya and Senegal are examples of how to accelerate progress,"" the FAO official declared.",0
"Paragraph 227: ""China is moving quickly towards its goal of eradicating poverty 10 years before the SDGs deadline (2030), and has a lot to share,"" he added.",-1
"Paragraph 228: Indeed, as Chinese Ambassador to FAO Niu Dun explained, China has actively taken part in the global cooperation, while developing itself.",1
"Paragraph 229: ""Up to now, we have sent more than 1,000 experts and technicians to Africa, Asia, South Pacific, Latin America and the Caribbean to help countries improve their food security,"" Niu said.",1
Paragraph 230: The ambassador added the FAO South-South and Triangular Cooperation provided the necessary platform for such a strategy of mutual support.,1
"Paragraph 231: ""This kind of innovative model of cooperation will further build a bridge between countries and regions so they can learn from each other, and make exchanges,"" Niu stressed.",0
"Paragraph 232: The representatives from Ghana, Chad, Senegal, and Kenya also outlined the major policies their countries were undertaking to achieve SDG1 and SDG2.",0
"Paragraph 233: ""Kenya has already developed a national Food and Nutrition Security Policy 2017-2020-2022,"" deputy head of Kenya's National Social Protection Secretariat John Gachigi explained. ""This is our strategic framework aimed at achieving the SDG2 on zero hunger.""",1
"Paragraph 234: As for ending poverty, the official said the eastern African country's government delivered a Nationa0l Social Protection Investment Plan to be developed by 2030.",0
"Paragraph 235: Wednesday's event took place on the sidelines of the 159th session of the FAO Council, which was running on June 4-8 in the Italian capital.",0
Paragraph 236: (CGTN's Zhang He also contributed to the story),0
Paragraph 237: Source(s): Xinhua News Agency,0
Paragraph 239: Deepened Sino-Arab collaboration sets example for South-South cooperation,0
"Paragraph 240: Biz Analysis13:37, 30-May-2024",0
Paragraph 241: Song Xueyin,0
"Paragraph 242: Editor's note:?Song Xueyin is deputy director of the Future Regional Development Laboratory, Zhejiang University. The article reflects the author's opinions and not necessarily the views of CGTN. It has been translated from Chinese and edited for brevity and clarity.",0
"Paragraph 243: Over the past two decades since the establishment of the China-Arab States Cooperation Forum, China and Arab countries?have implemented highly aligned development strategies, and their traditional friendship has withstood the test of time and grown even stronger. The two sides have complementary strengths in resources, markets, and industries. Their collaboration in fields such as energy, trade, and investment has been continuously enhanced, expanded, and upgraded. This has set a model for South-South cooperation and mutual benefits.",1
"Paragraph 245: Energy cooperation has been consolidated as the core to pioneer a new model of the Sino-Arab energy cooperation. China is the world's second-largest economy and the largest importer of oil, while the Arab countries are among the most significant areas producing oil and gas globally. Enhancing energy cooperation and establishing a Sino-Arab partnership in energy supply and demand, form the cornerstone of Sino-Arab cooperation.",1
"Paragraph 246: The Belt and Road Initiative, launched in 2013, marked a new journey of Sino-Arab energy cooperation in the new era. The introduction of ""Eight Major Common Actions""?for pragmatic collaboration at the first China-Arab States Summit in 2022?has further fueled this cooperation.",0
"Paragraph 247: In 2023, China imported 265 million tonnes of crude oil from Arab countries, accounting for 47 percent of China's total crude oil imports. At the same time, Sino-Arab cooperation in new energy sectors such as photovoltaics, wind energy, and hydrogen energy has rapidly increased, significantly advancing the energy transition in Arab countries. Sino-Arab energy cooperation has thus entered a new phase of extensive, sustainable collaboration in such fields as carbon-based energy, renewable energy, and the peaceful utilization of nuclear energy.",1
"Paragraph 248: The quality of infrastructure cooperation is enhanced to support new infrastructure development in Arab countries. The diversified development of the Arab economies has given rise to a substantial demand for high-level infrastructure, while China boasts robust technological and economic advantages in building infrastructure, creating vast opportunities for mutual complementary cooperation. Since the introduction of the Belt and Road Initiative, Chinese enterprises have signed engineering contracts worth $550 billion in Arab countries, covering various types of infrastructure, including logistics, railways, airports, ports, and energy.",3
"Paragraph 250: In 2018, the Haramain High Speed Railway with a design speed of 360 km/h, which is the first of its kind constructed by Chinese enterprises overseas, commenced operation. It significantly reduced the commuting time?between Mecca and Medina?in Saudi Arabia by half and considerably enhanced transportation efficiency. In 2021, Power China won the contract for a major public utility project in Saudi Arabia, marking the first large-scale infrastructure complex project undertaken by a Chinese company in Saudi Arabia. In addition, new infrastructure collaborations in digital technology and new energy, among others, are becoming increasingly prominent, with a growing focus on digitalization, technical solutions, and clean energy projects.",1
"Paragraph 251: Efforts are made to advance trade and investment integration, setting a new model for South-South cooperation.",0
"Paragraph 252: The Belt and Road Initiative is a crucial platform for Sino-Arab economic and trade cooperation. China has signed cooperation agreements for the Belt and Road Initiative with all 22 Arab countries and the League of Arab States. The?China-Arab States Expo, held six times in a row, has evolved into an international exhibition integrating high-level dialogues, economic and trade promotion, and business negotiations.",2
"Paragraph 253: Under the guidance of systematic cooperation frameworks and platforms such as the China-Arab States Cooperation Forum?and the China-Arab States Expo, China has maintained its position as the largest trading partner of Arab countries. Two-way trade?has surged from?$36.7 billion in 2004 to $398 billion in 2023, with direct investment exceeding $30 billion.",0
"Paragraph 254: Economic and trade cooperation has gradually expanded beyond agriculture and energy trade into finance, investment, science and technology, and culture, evolving towards a more diverse, balanced, reciprocal, and high-quality partnership.",0
"Paragraph 255: China, Angola set example for South-South cooperation, says Wang Yi",0
Paragraph 256: CGTN,0
"Paragraph 258: China and Angola have set an example for South-South cooperation, Chinese Foreign Minister Wang Yi said on Wednesday during talks with his Angolan counterpart T谷te Ant車nio in Beijing.",0
"Paragraph 259: The Chinese side is ready to strengthen multilateral cooperation with Angola, promote the mechanism building of the?Forum on China-Africa Cooperation, build a closer China-Africa community with a shared future and jointly safeguard the legitimate rights and interests of developing countries to promote the development of the international order in a more just and rational direction, said Wang.",2
"Paragraph 260: China-Angola relations have maintained a strong momentum of development, and their practical cooperation has yielded fruitful results, bringing tangible benefits to the two peoples and helping boost Angola's development, said Wang, who is also a member of the Political Bureau of the Communist Party of China Central Committee.",1
Paragraph 261: He called on both sides to work for an even higher-level and deeper relationship.,0
"Paragraph 262: China is ready to share its experience in Chinese modernization and the opportunities brought by the size of its market, and expand cooperation in infrastructure, digital economy, clean energy, health and medical care, and food security, among others, added Wang.",1
"Paragraph 263: For his part, Ant車nio said Angola-China cooperation is mutually beneficial and for win-win outcomes, and major projects continuously and successfully implemented have promoted the friendship between the two countries.",0
"Paragraph 264: Angola and China are both ""sincere friends"" and strategic partners, he said.",1
"Paragraph 265: The Central African country is ready to continue close communication and cooperation with China, promote the building of the Forum on China-Africa Cooperation, jointly safeguard the international system with the United Nations as the core, and build a new type of international relations, he added.",1
Paragraph 266: Ant車nio is on a four-day official visit to China that started on Tuesday.,0
Paragraph 267: This year marks the 40th anniversary of the establishment of diplomatic relations between China and Angola.,0
Paragraph 269: Xi sends congratulatory letter to South-South Human Rights Forum,0
"Paragraph 270: Updated 22:26, 10-Dec-2021",0
Paragraph 271: CGTN,0
"Paragraph 272: Noting that human rights are a symbol of human civilization's progress, Xi said putting people first and taking people's longing for a better life as the goal is the responsibility of all countries.",0
"Paragraph 273: The Communist Party of China has always been a political party that respects and protects human rights, he said, adding that China remains committed to a people-centered approach, puts people's interests front and center, advances human rights through development and promotes whole-process people's democracy.",0
"Paragraph 274: China's human rights cause has made remarkable achievements, and the Chinese people now have a greater sense of happiness and security in terms of human rights protection, Xi said.",1
"Paragraph 275: The interpretation and application of human rights practices vary, and countries around the world should and can choose the human rights?development path that suits their own national conditions, he said.",0
"Paragraph 276: ""China is willing to work with all developing countries to carry forward the common values of humanity, practice true multilateralism and contribute wisdom and strength to the sound development of the international human rights cause,"" Xi said.",0
"Paragraph 277: The human rights forum, themed ""putting people first and global human rights governance,"" was jointly hosted by China's State Council Information Office and the Chinese Foreign Ministry. It was first launched by China in 2017 to promote human rights in developing countries.",2
Paragraph 278: 'No one-size-fits-all model',0
"Paragraph 279: Xi's letter was read by Huang Kunming, the head of the CPC's Publicity Department, during the forum's opening ceremony. Huang pointed out how the message reflects China's ideology towards the issue.",0
"Paragraph 280: ""Xi's letter shows China's practice of respecting and protecting human rights, along with its commitment to promoting mankind's common values, and the development of international human rights,"" he said.",0
"Paragraph 281: At the forum, many discussions focused on how countries can cooperate better, and how to address human rights issues in different countries. Many agreed that there shouldn't be just one standardized criteria in judging a country's human rights status.",0
"Paragraph 282: ""There is no one-size-fits-all model for protecting human rights, nor is there a one-size-fits-all path for human rights development. And there are no perfect ideals when it comes to human rights,"" said Ma Zhaoxu, vice minister of Chinese Ministry of Foreign Affairs.",0
"Paragraph 283: ""Although today, the reality of the world is that there is a multilateral system on the ground. Yet, the Western world is trying to think in one polar system,"" said Bouthaina Shaaban, special adviser of Syria's president.",1
"Paragraph 284: Following these general discussions, the forum also hosted a number of parallel sessions focusing on specific human rights issues, such as anti-poverty and realization of the right to development, multilateralism and global human rights governance, and the role of developing countries in global human rights governance.",2
Paragraph 285: (Cao Chufeng also contributed to the story),0
"Paragraph 287: Politics?10:52, 16-Sep-2023",0
Paragraph 289: Translate,0
Paragraph 291: China to work with G77 members to open new chapter in South-South cooperation,0
Paragraph 292: CGTN,0
"Paragraph 294: Li Xi, a member of the Standing Committee of the Political Bureau of the Communist Party of China (CPC) Central Committee, said on Friday that China is ready to work with Group of 77 (G77) members to open a new chapter in South-South cooperation in a quest for greater development through stronger solidarity.",0
"Paragraph 295: Li made the remarks while attending the Summit of the Group of 77 plus China in Havana of Cuba as the special representative of Chinese President Xi Jinping. He also expressed China's willingness to work with G77 members to build a Global South community with a shared future, and usher in a new era of common development.",1
"Paragraph 296: He said the world is undergoing changes on a scale unseen in a century, developing countries are becoming stronger, and South-South cooperation is playing an increasingly important role in driving the momentum of the collective rise of developing countries and in sustaining continued global economic growth.",3
"Paragraph 297: ""At the same time, however, unilateralism and hegemonism are becoming rampant. Some countries are resorting to such practices as unilateral sanctions, decoupling, and disruption of industrial and supply chains, seriously undermining the legitimate development rights and interests of developing countries and our space for development,"" said Li, who stressed that developing countries widely expect to enhance solidarity and cooperation, and make efforts to make global governance more just and equitable.",1
"Paragraph 298: He put forward a three-point proposal in respect of cooperation between the G77 and China, calling on G77 members to stay true to the original aspiration of the G77 for independence and greater collective strength through unity. He also encouraged the advocating of equity, justice and inclusiveness, and appealed for the pursuit of development, revitalization and win-win cooperation.",0
"Paragraph 299: ""We need to foster new drivers for our own development, focusing on cooperation in areas of food security, poverty alleviation, industrialization, green development, digital technology and artificial intelligence,"" Li said, adding that efforts should be made to ensure all countries equally benefit from digital dividends, and no developing country will be left behind or left out in the development of new technologies and industries.",0
"Paragraph 300: ""China is the largest developing country in the world. No matter what stage of development it reaches, China will always be part of the developing world and a member of the Global South,"" he said, stressing that South-South cooperation is always a high priority in China's cooperation with other countries.",0
"Paragraph 301: Li said China will continue to maintain close communication and coordination with G77 members in order to optimize allocation of development resources, deepen South-South cooperation, ensure efficient use of public goods of the Belt and Road Initiative (BRI) cooperation, the Global Development Initiative (GDI) and other initiatives, close the development divide and resolve problems in development.",1
"Paragraph 302: In mid-October, China will host the third Belt and Road Forum for International Cooperation in Beijing. ""We look forward to welcoming you at the Forum and to your perspective on future BRI cooperation and the way forward for greater development,"" said Li.",0
"Paragraph 303: ""As long as we adapt to the changing times, strengthen solidarity, friendship and cooperation, and lend each other support in pursuing a path to modernization suited to our respective national conditions and characteristics, we will surely be able to better safeguard the common interests of developing countries, have a greater say in global governance, and achieve common development and shared prosperity,"" said Li.",1
Paragraph 304: Source(s): Xinhua News Agency,0
Paragraph 306: Watch: Global South in the eyes of young leaders,0
"Paragraph 307: REPLAY10:50, 26-Sep-2024",0
"Paragraph 308: With a rising Global South, how will the thoughts and actions of today's youth determine the world's future? What do they think and feel about the world of emerging market economies? CGTN, together with Tsinghua University and the International Cooperation Center, presents the special ""Youth Voice on the Global South,"" with guests from Asia, Africa, North America, Latin America and Europe to convey the youth's take on a more confident Global South. How is the trip to China for young leaders visiting from five continents? What are the differences between the China they have seen and the one they imagined? Do catch it on Thursday, September 26, at 10:50 a.m. BJT, on CGTN.",1
